PullRequestTitle,PullRequestNumber,PullRequestState,PullRequestCreatedAt,PullRequestUpdatedAt,PullRequestClosedAt,PullRequestMergedAt,PullRequestAuthor,PullRequestReviewsCount,PullRequestReviewers,PullRequestCommentsCount,ReviewDuration
Read wei/eth balance. Show eth balance at startup. Formatting.,39,MERGED,2018-01-31T11:16:52Z,2018-02-14T21:46:00Z,2018-02-14T21:45:03Z,2018-02-14T21:45:03Z,jordanbonilla,33,"['dimroc', 'se3000', 'jordanbonilla', 'jordanbonilla', 'jordanbonilla', 'jordanbonilla', 'dimroc', 'jordanbonilla', 'dimroc', 'jordanbonilla', 'dimroc', 'se3000', 'jordanbonilla', 'jordanbonilla', 'dimroc', 'jordanbonilla', 'jordanbonilla', 'se3000', 'se3000', 'jordanbonilla', 'jordanbonilla', 'dimroc', 'dimroc', 'jordanbonilla', 'se3000', 'jordanbonilla', 'se3000', 'jordanbonilla', 'se3000', 'jordanbonilla', 'se3000', 'dimroc', 'dimroc']",7,14 days 10:28:11
prevent adding old jobs,40,MERGED,2018-02-01T08:14:01Z,2018-02-01T19:15:24Z,2018-02-01T19:15:20Z,2018-02-01T19:15:20Z,se3000,2,"['dimroc', 'dimroc']",0,0 days 11:01:19
cl log parsing,41,CLOSED,2018-02-03T02:33:42Z,2018-02-09T19:22:32Z,2018-02-05T23:27:35Z,,se3000,5,"['se3000', 'se3000', 'dimroc', 'jordanbonilla', 'se3000']",0,2 days 20:53:53
Improve logging of gas bumping and clean up mixed wei/gwei units,42,MERGED,2018-02-04T19:07:13Z,2018-02-09T19:23:23Z,2018-02-05T19:57:59Z,2018-02-05T19:57:59Z,dimroc,4,"['dimroc', 'se3000', 'dimroc', 'dimroc']",0,1 days 00:50:46
Updated Godocs in services package,43,MERGED,2018-02-04T21:33:29Z,2018-02-05T14:13:14Z,2018-02-05T14:13:07Z,2018-02-05T14:13:06Z,thodges-gh,1,['dimroc'],1,0 days 16:39:38
"Make Output,TaskRun immutable w value receiver type",44,MERGED,2018-02-05T23:02:19Z,2018-02-06T01:09:20Z,2018-02-06T01:09:15Z,2018-02-06T01:09:15Z,dimroc,1,['se3000'],0,0 days 02:06:56
"standardize ""chainlink"" as one word",45,MERGED,2018-02-06T03:31:42Z,2018-02-06T18:18:39Z,2018-02-06T18:18:35Z,2018-02-06T18:18:35Z,se3000,1,['dimroc'],0,0 days 14:46:53
Bugs/fix app add job,46,MERGED,2018-02-06T08:01:13Z,2018-02-07T22:17:09Z,2018-02-07T22:16:58Z,2018-02-07T22:16:58Z,se3000,3,"['dimroc', 'se3000', 'dimroc']",0,1 days 14:15:45
change slices of pointers to just slices of values,47,MERGED,2018-02-06T18:19:41Z,2018-02-07T01:57:31Z,2018-02-07T01:57:28Z,2018-02-07T01:57:28Z,se3000,1,['dimroc'],0,0 days 07:37:47
Task.Params is now models.JSON,48,MERGED,2018-02-06T19:55:20Z,2018-02-06T21:02:05Z,2018-02-06T21:01:58Z,2018-02-06T21:01:58Z,dimroc,1,['se3000'],0,0 days 01:06:38
Documentation - Models Godocs,49,MERGED,2018-02-08T02:28:33Z,2018-02-09T13:54:13Z,2018-02-09T13:54:13Z,2018-02-09T13:54:13Z,thodges-gh,14,"['dimroc', 'thodges-gh', 'thodges-gh', 'thodges-gh', 'thodges-gh', 'thodges-gh', 'thodges-gh', 'thodges-gh', 'thodges-gh', 'thodges-gh', 'dimroc', 'dimroc', 'dimroc', 'dimroc']",0,1 days 11:25:40
chainlink log initiators populate ethtx adapter fields,50,MERGED,2018-02-09T06:45:29Z,2018-02-09T19:22:01Z,2018-02-09T19:21:54Z,2018-02-09T19:21:54Z,se3000,5,"['se3000', 'dimroc', 'dimroc', 'dimroc', 'se3000']",0,0 days 12:36:25
add Travis CI,51,MERGED,2018-02-09T20:24:58Z,2018-02-10T18:19:39Z,2018-02-10T18:19:36Z,2018-02-10T18:19:36Z,se3000,0,[],3,0 days 21:54:38
Updated README with short EA instructions and new env variable,52,MERGED,2018-02-09T23:57:10Z,2018-02-10T04:22:30Z,2018-02-10T04:22:30Z,2018-02-10T04:22:30Z,thodges-gh,0,[],1,0 days 04:25:20
Make variety of changes for functioning eth pubsub,53,MERGED,2018-02-10T00:26:04Z,2018-02-10T18:37:53Z,2018-02-10T18:37:24Z,2018-02-10T18:37:24Z,dimroc,9,"['se3000', 'dimroc', 'dimroc', 'dimroc', 'dimroc', 'dimroc', 'dimroc', 'se3000', 'se3000']",2,0 days 18:11:20
Package store Godoc complete,54,MERGED,2018-02-10T19:06:32Z,2018-02-11T01:45:19Z,2018-02-11T01:45:11Z,2018-02-11T01:45:11Z,thodges-gh,2,"['dimroc', 'dimroc']",2,0 days 06:38:39
renaming,55,MERGED,2018-02-11T03:06:14Z,2018-02-11T14:30:27Z,2018-02-11T14:30:24Z,2018-02-11T14:30:24Z,se3000,0,[],0,0 days 11:24:10
enable wei watchers functionality,56,MERGED,2018-02-11T09:51:05Z,2018-02-11T19:19:06Z,2018-02-11T19:19:00Z,2018-02-11T19:18:59Z,se3000,1,['dimroc'],0,0 days 09:27:55
Remove unused utils,57,MERGED,2018-02-11T14:56:21Z,2018-02-11T22:14:29Z,2018-02-11T22:14:26Z,2018-02-11T22:14:26Z,dimroc,0,[],0,0 days 07:18:05
Finish out Godocs,58,MERGED,2018-02-11T16:03:34Z,2018-02-11T21:37:10Z,2018-02-11T21:37:05Z,2018-02-11T21:37:05Z,thodges-gh,0,[],1,0 days 05:33:31
Add more tests for eth_client. Rename functions for clarity/convention.,59,MERGED,2018-02-12T04:14:23Z,2018-02-13T19:03:42Z,2018-02-13T19:03:37Z,2018-02-13T19:03:37Z,jordanbonilla,7,"['se3000', 'se3000', 'se3000', 'se3000', 'jordanbonilla', 'jordanbonilla', 'jordanbonilla']",1,1 days 14:49:14
improve cli formatting,60,MERGED,2018-02-12T07:16:06Z,2018-02-12T20:57:01Z,2018-02-12T20:56:57Z,2018-02-12T20:56:57Z,se3000,4,"['dimroc', 'se3000', 'dimroc', 'se3000']",1,0 days 13:40:51
check panic and log.Fatal calls,61,MERGED,2018-02-12T20:39:26Z,2018-02-14T21:46:19Z,2018-02-13T11:59:38Z,2018-02-13T11:59:38Z,se3000,1,['dimroc'],0,0 days 15:20:12
add codecov integration,62,MERGED,2018-02-13T08:27:09Z,2018-02-14T21:46:21Z,2018-02-13T11:59:03Z,2018-02-13T11:59:03Z,se3000,0,[],2,0 days 03:31:54
Updated README with new instructions for adding external adapters.,63,MERGED,2018-02-13T14:54:55Z,2018-02-13T19:45:22Z,2018-02-13T19:45:18Z,2018-02-13T19:45:18Z,thodges-gh,7,"['dimroc', 'thodges-gh', 'dimroc', 'thodges-gh', 'dimroc', 'dimroc', 'thodges-gh']",1,0 days 04:50:23
Add ExampleMain_Help for documentation and coverage of main.go,64,MERGED,2018-02-13T20:45:01Z,2018-02-14T00:34:03Z,2018-02-14T00:34:00Z,2018-02-14T00:34:00Z,dimroc,2,"['se3000', 'se3000']",3,0 days 03:48:59
add coveralls integration,65,MERGED,2018-02-14T08:55:56Z,2018-02-14T12:46:18Z,2018-02-14T12:46:14Z,2018-02-14T12:46:14Z,se3000,0,[],1,0 days 03:50:18
resume pending jobs based on pull notifications instead of polling,66,MERGED,2018-02-14T09:59:34Z,2018-02-14T21:26:16Z,2018-02-14T21:24:38Z,2018-02-14T21:24:38Z,se3000,1,['dimroc'],1,0 days 11:25:04
increase test coverage for BridgeTypesController,67,MERGED,2018-02-14T10:11:03Z,2018-02-14T12:45:35Z,2018-02-14T12:45:32Z,2018-02-14T12:45:32Z,se3000,0,[],1,0 days 02:34:29
Improve test coverage of renderer.go,68,MERGED,2018-02-14T15:03:00Z,2018-02-14T20:33:09Z,2018-02-14T20:33:06Z,2018-02-14T20:33:06Z,dimroc,0,[],1,0 days 05:30:06
Add scripts to start devnet and cl against devnet,69,MERGED,2018-02-14T22:10:24Z,2018-02-14T23:24:11Z,2018-02-14T23:23:44Z,2018-02-14T23:23:44Z,dimroc,0,[],2,0 days 01:13:20
simplify runlog to not require an address,70,MERGED,2018-02-15T05:30:14Z,2018-02-15T20:25:12Z,2018-02-15T20:25:08Z,2018-02-15T20:25:08Z,se3000,5,"['jordanbonilla', 'dimroc', 'dimroc', 'se3000', 'dimroc']",1,0 days 14:54:54
chores: remove helper prefixes,71,MERGED,2018-02-15T06:33:22Z,2018-02-15T12:57:28Z,2018-02-15T12:57:24Z,2018-02-15T12:57:24Z,se3000,0,[],1,0 days 06:24:02
Change commiter,72,CLOSED,2018-02-15T07:08:18Z,2018-02-15T07:15:56Z,2018-02-15T07:13:19Z,,jordanbonilla,0,[],1,0 days 00:05:01
clean up async tests and fix bug,73,MERGED,2018-02-15T10:27:23Z,2018-02-15T13:00:51Z,2018-02-15T13:00:41Z,2018-02-15T13:00:41Z,se3000,0,[],3,0 days 02:33:18
README.md - Fixed different URLs in examples.,74,MERGED,2018-02-15T15:39:15Z,2018-02-15T16:31:33Z,2018-02-15T16:31:31Z,2018-02-15T16:31:31Z,thodges-gh,3,"['dimroc', 'dimroc', 'thodges-gh']",1,0 days 00:52:16
Fix Eth Log notifications to not be arrays,75,MERGED,2018-02-15T19:41:11Z,2018-02-15T20:08:55Z,2018-02-15T20:08:53Z,2018-02-15T20:08:53Z,dimroc,1,['se3000'],1,0 days 00:27:42
"Change job,jobRun,bridgeType from ptrs to values to be better suited for concurrency",76,MERGED,2018-02-15T23:27:58Z,2018-02-15T23:44:58Z,2018-02-15T23:44:53Z,2018-02-15T23:44:53Z,dimroc,0,[],1,0 days 00:16:55
fix newHeads pubsub bug with POA networks,77,MERGED,2018-02-15T23:34:02Z,2018-02-16T13:30:41Z,2018-02-16T00:25:35Z,2018-02-16T00:25:35Z,se3000,1,['dimroc'],1,0 days 00:51:33
README.md - Removed address field from job.json example.,78,MERGED,2018-02-16T02:43:44Z,2018-02-17T20:15:54Z,2018-02-16T04:33:39Z,2018-02-16T04:33:39Z,thodges-gh,0,[],2,0 days 01:49:55
documentation & overviews,79,MERGED,2018-02-16T07:43:02Z,2018-02-17T19:45:41Z,2018-02-17T19:45:38Z,2018-02-17T19:45:38Z,se3000,5,"['thodges-gh', 'dimroc', 'se3000', 'thodges-gh', 'se3000']",1,1 days 12:02:36
move devnet tools into internal dir,80,MERGED,2018-02-16T08:56:13Z,2018-02-16T13:54:48Z,2018-02-16T13:54:46Z,2018-02-16T13:54:46Z,se3000,3,"['dimroc', 'dimroc', 'dimroc']",1,0 days 04:58:33
Ability for ethlogs to listen to all addresses,81,MERGED,2018-02-16T15:40:05Z,2018-02-17T20:15:56Z,2018-02-16T18:18:51Z,2018-02-16T18:18:51Z,dimroc,0,[],1,0 days 02:38:46
ethuint256 and multiply adapters,82,MERGED,2018-02-16T22:02:59Z,2018-02-17T17:27:26Z,2018-02-17T17:27:22Z,2018-02-17T17:27:22Z,se3000,5,"['dimroc', 'se3000', 'se3000', 'dimroc', 'dimroc']",3,0 days 19:24:23
Added funded account info to ./internal/bin/devnet,83,MERGED,2018-02-16T23:01:26Z,2018-02-16T23:14:48Z,2018-02-16T23:14:41Z,2018-02-16T23:14:41Z,dimroc,0,[],1,0 days 00:13:15
simplify dependencies for chainlinked contracts,84,MERGED,2018-02-16T23:59:35Z,2018-02-17T00:02:54Z,2018-02-17T00:02:03Z,2018-02-17T00:02:03Z,se3000,0,[],0,0 days 00:02:28
Updated HTTP response to error if >= 400.,85,MERGED,2018-02-17T01:50:43Z,2018-02-17T12:44:19Z,2018-02-17T12:44:16Z,2018-02-17T12:44:16Z,thodges-gh,2,"['se3000', 'se3000']",1,0 days 10:53:33
Updated Godocs with new names.,86,MERGED,2018-02-17T03:19:47Z,2018-02-17T20:16:20Z,2018-02-17T05:27:57Z,2018-02-17T05:27:57Z,thodges-gh,0,[],2,0 days 02:08:10
add cldev console command,87,MERGED,2018-02-17T06:41:05Z,2018-02-17T17:26:01Z,2018-02-17T17:25:58Z,2018-02-17T17:25:58Z,se3000,1,['dimroc'],3,0 days 10:44:53
Improve readability and order of README.md,88,MERGED,2018-02-17T20:02:14Z,2018-02-17T20:08:42Z,2018-02-17T20:08:39Z,2018-02-17T20:08:39Z,dimroc,0,[],2,0 days 00:06:25
Fix broken links,89,MERGED,2018-02-18T00:37:01Z,2018-02-18T00:55:24Z,2018-02-18T00:55:21Z,2018-02-18T00:55:20Z,thodges-gh,0,[],1,0 days 00:18:20
Bump uuid dependency to smartcontractkit fork,92,MERGED,2018-02-19T01:51:24Z,2018-02-19T02:21:12Z,2018-02-19T02:16:59Z,2018-02-19T02:16:59Z,dimroc,0,[],1,0 days 00:25:35
Warn on inability to read request body for logs,93,MERGED,2018-02-19T02:07:15Z,2018-02-19T18:13:39Z,2018-02-19T18:13:27Z,2018-02-19T18:13:27Z,dimroc,0,[],1,0 days 16:06:12
Include hello_chainlink in README.,94,MERGED,2018-02-19T17:49:21Z,2018-02-22T01:01:33Z,2018-02-19T18:12:41Z,2018-02-19T18:12:41Z,thodges-gh,0,[],1,0 days 00:23:20
Added funded account info to ./internal/bin/devnet pt 2,95,CLOSED,2018-02-19T19:25:55Z,2018-02-19T19:31:24Z,2018-02-19T19:31:19Z,,dimroc,0,[],0,0 days 00:05:24
simplify dependencies for chainlinked contracts pt 2,96,MERGED,2018-02-19T19:28:18Z,2018-02-19T21:30:44Z,2018-02-19T21:30:40Z,2018-02-19T21:30:40Z,dimroc,0,[],1,0 days 02:02:22
Added funded account info to ./internal/bin/devnet pt 2,97,MERGED,2018-02-19T19:31:09Z,2018-02-19T21:44:37Z,2018-02-19T21:44:33Z,2018-02-19T21:44:33Z,dimroc,0,[],1,0 days 02:13:24
Add Makefile to automate compilation step,99,MERGED,2018-02-20T04:20:50Z,2018-02-22T23:27:36Z,2018-02-20T05:57:12Z,2018-02-20T05:57:12Z,dimroc,2,"['se3000', 'thodges-gh']",7,0 days 01:36:22
Use `make install` for getting started installation step,100,MERGED,2018-02-20T11:36:43Z,2018-02-20T18:40:57Z,2018-02-20T12:10:54Z,2018-02-20T12:10:54Z,dimroc,0,[],2,0 days 00:34:11
order job runs from the API based on created at time,101,MERGED,2018-02-20T19:33:04Z,2018-02-20T19:41:38Z,2018-02-20T19:41:36Z,2018-02-20T19:41:36Z,se3000,1,['dimroc'],1,0 days 00:08:32
"Bump dependencies, including geth to 1.8.1",102,MERGED,2018-02-21T17:15:12Z,2018-02-21T17:53:16Z,2018-02-21T17:53:01Z,2018-02-21T17:53:01Z,dimroc,1,['dimroc'],1,0 days 00:37:49
json parse can index arrays and convert floats,103,MERGED,2018-02-22T17:29:16Z,2018-02-22T20:45:49Z,2018-02-22T20:45:37Z,2018-02-22T20:45:37Z,dimroc,0,[],1,0 days 03:16:21
Lower number of confirmations to 2 for cldev,104,MERGED,2018-02-22T22:49:41Z,2018-02-22T23:09:55Z,2018-02-22T23:09:52Z,2018-02-22T23:09:52Z,dimroc,0,[],1,0 days 00:20:11
Cache go directories in travis build,105,CLOSED,2018-02-22T23:09:22Z,2018-02-22T23:57:49Z,2018-02-22T23:49:57Z,,dimroc,0,[],2,0 days 00:40:35
resume Bridge tasks,106,MERGED,2018-02-23T07:52:12Z,2018-02-25T18:37:28Z,2018-02-25T18:37:27Z,2018-02-25T18:37:27Z,se3000,5,"['dimroc', 'se3000', 'se3000', 'se3000', 'se3000']",2,2 days 10:45:15
Add HeadTracker to NotificationListener to track last new head,107,MERGED,2018-02-23T17:07:52Z,2018-02-24T00:25:58Z,2018-02-24T00:21:15Z,2018-02-24T00:21:15Z,dimroc,5,"['se3000', 'dimroc', 'dimroc', 'se3000', 'se3000']",1,0 days 07:13:23
Create an account on node first boot by specifying a password,108,MERGED,2018-02-23T18:20:03Z,2018-02-26T22:39:47Z,2018-02-26T18:55:16Z,2018-02-26T18:55:16Z,jleeh,4,"['se3000', 'se3000', 'jleeh', 'se3000']",8,3 days 00:35:13
Sort job runs in the db and not in memory,109,MERGED,2018-02-23T19:18:33Z,2018-03-07T00:23:05Z,2018-02-23T22:02:17Z,2018-02-23T22:02:17Z,dimroc,0,[],2,0 days 02:43:44
Improve parallelization and perf of test suite,110,MERGED,2018-02-23T22:43:13Z,2018-03-07T00:23:03Z,2018-02-23T23:22:29Z,2018-02-23T23:22:29Z,dimroc,0,[],1,0 days 00:39:16
Terminal reset using common stdin file descriptor between OS,111,MERGED,2018-02-23T23:17:50Z,2018-02-24T14:05:30Z,2018-02-24T14:05:30Z,2018-02-24T14:05:29Z,jleeh,0,[],9,0 days 14:47:40
Update README install instructions back to go get.,112,MERGED,2018-02-24T02:04:56Z,2018-03-07T00:22:58Z,2018-02-24T19:16:37Z,2018-02-24T19:16:37Z,thodges-gh,1,['dimroc'],4,0 days 17:11:41
Added a performance suite which stress tests the job API's,113,CLOSED,2018-02-24T15:15:11Z,2018-03-15T21:45:16Z,2018-03-15T21:45:16Z,,jleeh,6,"['dimroc', 'jleeh', 'jleeh', 'se3000', 'se3000', 'dimroc']",11,19 days 06:30:05
Improve concurrency of logs by giving each initiator its own subscription,115,MERGED,2018-02-26T22:17:40Z,2018-02-27T23:50:03Z,2018-02-27T23:49:53Z,2018-02-27T23:49:53Z,dimroc,5,"['dimroc', 'dimroc', 'se3000', 'dimroc', 'dimroc']",2,1 days 01:32:13
Added format directives for Errorf lines.,116,MERGED,2018-02-27T02:33:36Z,2018-02-27T03:35:04Z,2018-02-27T03:34:58Z,2018-02-27T03:34:58Z,thodges-gh,0,[],1,0 days 01:01:22
Make JobSubscription#unsubscribers private,117,MERGED,2018-02-27T23:58:10Z,2018-02-28T00:07:58Z,2018-02-28T00:07:55Z,2018-02-28T00:07:55Z,dimroc,0,[],1,0 days 00:09:45
Correctly sort hexadecimal block numbers in boltdb for HeadTracker,118,MERGED,2018-02-28T15:47:30Z,2018-02-28T20:13:55Z,2018-02-28T20:13:50Z,2018-02-28T20:13:50Z,dimroc,1,['dimroc'],1,0 days 04:26:20
Clean up debug logs when receiving new header,119,MERGED,2018-02-28T21:10:51Z,2018-02-28T21:34:26Z,2018-02-28T21:34:23Z,2018-02-28T21:34:23Z,dimroc,0,[],1,0 days 00:23:32
job runs save their completed time,120,MERGED,2018-02-28T22:05:23Z,2018-03-07T00:22:45Z,2018-03-01T07:01:09Z,2018-03-01T07:01:09Z,dimroc,0,[],1,0 days 08:55:46
External adapters can mark pending job runs as errored,121,MERGED,2018-03-01T09:17:36Z,2018-03-01T21:01:22Z,2018-03-01T21:01:13Z,2018-03-01T21:01:13Z,se3000,3,"['dimroc', 'dimroc', 'se3000']",1,0 days 11:43:37
Bump go to 1.10 and upgrade dependencies,122,MERGED,2018-03-01T13:31:30Z,2018-03-02T17:41:31Z,2018-03-02T17:41:25Z,2018-03-02T17:41:25Z,dimroc,0,[],2,1 days 04:09:55
Two minor linting adjustments,123,MERGED,2018-03-02T10:23:10Z,2018-03-02T21:15:44Z,2018-03-02T21:15:25Z,2018-03-02T21:15:25Z,lennrt,1,['dimroc'],6,0 days 10:52:15
WIP: testing caching,124,CLOSED,2018-03-02T17:54:57Z,2018-03-07T00:22:35Z,2018-03-02T18:06:19Z,,se3000,0,[],1,0 days 00:11:22
